id,context,question,answer0,answer1,answer2,answer3,label
3OJX0UFJ0Z54TL3UHX8Z0PXD1WD9UV##32SCWG5HII275HRUS7CVVTF0HAH6PI##A2CMYWI1J292YJ##Blog_1257072##q2_a1##3P888QFVX58U24ZQMBJCFCJLMJTQOF,"This July , a New York City police officer and a cyclist had an altercation of some sort . The cop claimed the man had been weaving in and out of traffic and tried to hit him with his bike , and arrested him for assault , resisting arrest , and disorderly conduct . The man said the cop had shoved him off his bike for no reason .",What was this New York City police officer doing before the incident ?,He was on a bicycle .,He was driving a car .,None of the above choices .,He was on foot .,3
3OID399FXG5RDTJLYOI20LF0IZZDFD##3WQQ9FUS6BSS51982HRSKN627WKB87##AJ7NSZOAFP05U##Blog_455607##q1_a1##3P4ZBJFX2XH5GOIJZHZSK7STIL5FWC,"Sadly he is no where the DJ he is producer and his set was full of mediocre mixes and rather poorly programmed electro and tech house . That said , I danced to most of his set and enjoyed it , but compared to JDS and Rennie , mang it d be hard for anyone to step up . Was cool to see him though .",What may be true about him as a DJ ?,His music is average .,His music was better than JDS 's set .,He stopped making mixes .,His music is n't even average .,0
3HO4MYYR12MHB21WJQ5NGF6BBV4U64##3QFUFYSY9ZDHZHYMVGNBM1HIJA6F4F##AO33H4GL9KZX9##Blog_124012##q1_a1##3XH7ZM9YX48R7IAKX1PUNCY1N699RL,"I ask tough questions during my critique . It is easy to fall in love with your ideas , which is why it is imperative that you have an outsider review and critique your plan . This process will help you uncover weaknesses that you may not perceive in your business plan .",What might I continue to do after this ?,I might continue to critique the business idea to discover the weaknesses .,I might stop to critique the business idea to discover the weaknesses .,I might continue to critique the business idea to discover the strengths .,I might ease up on critiques on the business idea to discover the weaknesses .,0
33TGB4G0LPFFU463K8O3BWXTPLWXTA##3HPZF4IVNNRQUCSWTLLHUK0MH1QCY5##A1I72NHC21347A##Blog_114581##q1_a1##3TL87MO8CO3P5U6KV3SQBWBDKCFLFZ,"Sensible people would have checked the weather or preemptively backed the truck into the carport . But that 's not the kind of people we are , so I pulled on a sweatshirt , backed the other two cars out of the driveway , and had Mike back the truck in safely . I hope our neighbors were entertained . My pajamas legs were soaked .",what may have happened before this event ?,The pickup fit around the cars and into carport,We left the truck and its load just get rained on,None of the above choices .,"The cars were in the drive so we left the pickup truck , with its load , at end of drive",3
33TGB4G0LPFFU463K8O3BWXTPLWXTA##3HPZF4IVNNRQUCSWTLLHUK0MH1QCY5##A1I72NHC21347A##Blog_114581##q1_a2##3EPG8DX9LM4NUISTHJ8O61TK0S25PY,"Sensible people would have checked the weather or preemptively backed the truck into the carport . But that 's not the kind of people we are , so I pulled on a sweatshirt , backed the other two cars out of the driveway , and had Mike back the truck in safely . I hope our neighbors were entertained . My pajamas legs were soaked .",what may have happened before this event ?,We left the truck and its load just get rained on,None of the above choices .,We did n't check   weather to know if we should move the vehicles around to protect the load,The pickup fit around the cars and into carport,2
3H781YYV6VWLITET91ABF50U175TEC##3SNVL38CI77A5W2M93WQDA9KMIXKCE##AO33H4GL9KZX9##Blog_645920##q1_a1##3JU8CV4BRNQ92SYBMY4NF7TBHM5POJ,"28 July The finalists of the Sydney International Piano Competition have been announced . Among them were names like Eric Zuber , Tatiana Koloseva ( she plays well from a little snippet I saw online ) , Ran Dank , Konstantin Shamrov , and there 's also a 17 year old Japanese boy . To my dismay , when I searched the profiles of the competitors , none of them were cute . L Only Marco lived up to the expectations of the photographs in the program .",What type of person might I be ?,I might be a deep person interested in talents mainly .,I might be a shallow person interested in looks mainly .,I might be a shallow person interested in talents mainly .,I might be a sincere person interested in personality mainly .,1
33TGB4G0LPFFU463K8O3BWXTPJVTX1##38F71OA9GUUX37NS1KN78VYI4Q9MFC##A2KYOM2ZGYDJGT##Blog_342691##q1_a1##3XQ4XW3ODBQS8DPYRHAK3ZVJ3Z3S2F,I had been watching it briefly during the afternoon . Then I put it on pause and forgot about it . It did n't forget about me however . Perhaps it was concerned that I was missing something important . Perhaps it felt rejected that I left it alone for so long .,Why did the writer put it on pause and forget about it ?,He was watching it in the afternoon .,He started doing something else and never came back to it .,It was concerned that they were missing something important .,It felt rejected that the writer left it alone .,1
3AJA9FLWSECNFTYEA0VDJGJL38NFIH##3PWWM24LHVDDCD8J3LAHBSR7JP282M##AJ7NSZOAFP05U##Blog_226863##q1_a1##375VMB7D4LXQH9KIJU0NVGG0R21IDH,"Clean smell througout , appears to have never been smoked in . The paint on this vehicle has not been altered and is original from front to back . This vehicle does not show any signs of collision damage . This vehicle 's transmission runs like it just left the factory .",What may be true about this vehicle ?,None of the above choices .,This vehicle just left the factory .,It 's tidy .,It has been smoked in .,2
3AJA9FLWSECNFTYEA0VDJGJL38NFIH##3PWWM24LHVDDCD8J3LAHBSR7JP282M##AJ7NSZOAFP05U##Blog_226863##q1_a2##3CVDZS288JE9BCO5VFT5B9Q2KO1FM5,"Clean smell througout , appears to have never been smoked in . The paint on this vehicle has not been altered and is original from front to back . This vehicle does not show any signs of collision damage . This vehicle 's transmission runs like it just left the factory .",What may be true about this vehicle ?,None of the above choices .,It 's in working condition .,It has been smoked in .,This vehicle just left the factory .,1
3J94SKDEKINZBWQWSC5TE9ONTYA5DX##3WLEIWSYHPFRAZA5MSSNW7WXF7GH24##AO33H4GL9KZX9##Blog_1554655##q1_a1##3IHWR4LC7FRE0EOR2MP79O2ZG3XI8O,"I probably would have wound up with a C - section . But still given our current issues with school , it might have been better in the long run . * shrugs * We 'll make the best of it . Today will be pretty mellow . The spouse took the day off yesterday so we went to Atlantic City for an early anniversary celebration .",Why might we have an early anniversary celebration ?,Because we 're both have schedules and the school might not have worked out .,Because we 're both in school and the schedule might not have worked out .,Because we 're both have schedules and the anniversary might have worked out .,Because we 're both in school but the schedule might have worked out .,1
3W9XHF7WGM9O4T635NLED0D0NYIKTW##3OJSZ2ATDVB1BWMNBZK9VZYOTUK75R##A3GVXFBYAU9HP##Blog_631968##q1_a1##3HJ1EVZS2QX5SGL4GSOKWZVGO0AR38,"A hot girl appears who flirts with me to convince me to help her dig the deeper well ( Whoa ... even my dreams reference Buffy . Whedon is my God ) . I ' m in a narrow tunnel helping to pull a horse attached to a plow of some sort , while the brother of the hot chick is riding on the back of the plow . By the time we 're done I can tell it 's becoming night , though oddly when I get out of the tunnel it 's still light outside .",Why do even my dreams reference Buffy ?,None of the above choices .,I am a huge fan of Joss Whedon 's work .,I think Buffy the Vampire Slayer is an alright TV show .,I like Joss Whedon 's work a little bit .,1
3W9XHF7WGM9O4T635NLED0D0NYIKTW##3OJSZ2ATDVB1BWMNBZK9VZYOTUK75R##A3GVXFBYAU9HP##Blog_631968##q1_a2##308KJXFUJTKISGXHTW8PJMA4IVZTAJ,"A hot girl appears who flirts with me to convince me to help her dig the deeper well ( Whoa ... even my dreams reference Buffy . Whedon is my God ) . I ' m in a narrow tunnel helping to pull a horse attached to a plow of some sort , while the brother of the hot chick is riding on the back of the plow . By the time we 're done I can tell it 's becoming night , though oddly when I get out of the tunnel it 's still light outside .",Why do even my dreams reference Buffy ?,I like Joss Whedon 's work a little bit .,I think Buffy the Vampire Slayer is an alright TV show .,I love the TV show Buffy the Vampire Slayer .,None of the above choices .,2
3Y3N5A7N4G70HE6TG79T8W9AXCOYMW##3UJ1CZ6IZIN8Z578F56KYS6B74KS5K##A2LTOS0AZ3B28A##Blog_428928##q1_a2##33CLA8O0MKP08S1X0NPMX8KCQXPFRQ,"Here 's a fun / depressing game : Go to YouTube . Notice how they show you five videos that are being watched at that moment . If you refresh the page , you 'll see five different videos being watched at THAT moment . Now notice how many of them are either a ) Sarah Palin or b ) Tina Fey 's impression of her on Saturday Night Live or c ) any other impersonation of Sarah Palin .",Why are they upset about Sarah Palin being on Youtube ?,They are tired of all the politics around Sarah Palin .,None of the above choices .,The love watching saturday night live on youtube .,They are having fun watching Tina Fey as Sarah Palin .,0
3Y3N5A7N4G70HE6TG79T8W9AXCOYMW##3UJ1CZ6IZIN8Z578F56KYS6B74KS5K##A2LTOS0AZ3B28A##Blog_428928##q2_a1##3AA88CN98RHKLF5XFT8DLH5E1GLKYZ,"Here 's a fun / depressing game : Go to YouTube . Notice how they show you five videos that are being watched at that moment . If you refresh the page , you 'll see five different videos being watched at THAT moment . Now notice how many of them are either a ) Sarah Palin or b ) Tina Fey 's impression of her on Saturday Night Live or c ) any other impersonation of Sarah Palin .",Why is Saturday night Live making fun of Sarah Palin ?,SNL does n't like Sarah Palin .,None of the above choices .,Sarah Palin is great to make fun of .,Tina Fey needs new material for Saturday night live .,2
3Y3N5A7N4G70HE6TG79T8W9AXCOYMW##3UJ1CZ6IZIN8Z578F56KYS6B74KS5K##A2LTOS0AZ3B28A##Blog_428928##q1_a1##3VADEH0UHEBO0KQ4TFLWZC3CE5VPSR,"Here 's a fun / depressing game : Go to YouTube . Notice how they show you five videos that are being watched at that moment . If you refresh the page , you 'll see five different videos being watched at THAT moment . Now notice how many of them are either a ) Sarah Palin or b ) Tina Fey 's impression of her on Saturday Night Live or c ) any other impersonation of Sarah Palin .",Why are they upset about Sarah Palin being on Youtube ?,They are having fun watching Tina Fey as Sarah Palin .,None of the above choices .,The love watching saturday night live on youtube .,Youtube is doing a wonderful job showing Saturday night live .,1
3087LXLJ6OUC8YHY6A67DCJPH9BF0H##3P59JYT76OZWAX076JLC2ONUWJU2T9##AJ7NSZOAFP05U##Blog_1496848##q1_a1##3MNJFORX8DIB353Z3GCJU7FGYRH5F7,"There are two figures , who we must assume to be mortals that sit around the fire . One is not carrying a sword , the other is dark and possessed a strange tongue , though it was not visible that night . And as the night came closer , they spoke words to each other .",What may happen when night strikes with the two figures ?,None of the above choices .,They would have a conversation .,One would check their sword .,They would have a conversation in a strange tongue .,1
3ZTE0JGGCG6Q83P7HTIHV7U4I86OCU##3SKEMFQBZ6K8TTC9SRGLBOD106BK85##AJ7NSZOAFP05U##Blog_1539022##q1_a1##3NBFJK3IOJW3PF5CJFE0LYFJG4MOG0,"It was affordable , good & the girls there are so friendly and gave so much tips and advice . After perming , it was not as long I expected . So for now , I want to keep it long to the length that I ' ve planned .",What may be true about the girls ?,They change the length of their hair at random times .,They were cordial .,None of the above choices .,They were n't cordial .,1
39KMGHJ4R1OLBU283SNMA5WLBGU00O##36PW28KO42BJQHDET3PW9K6R618EAK##A3GVXFBYAU9HP##Blog_1215996##q1_a1##3NSCTNUR211G7EMRS0QRG64P1E45A0,I learned new generation web technologies ASP hopefully looking forward for the day I make my homepage in aspx . I moved to college hostel this year . I do nt know why I spent so much time infront of my computer and I think its time to change my character . Not going to happen in this situation any more and I guess more time and try is required ; ) this blog ends with no normal start and no normal end .,Why ca n't I stop spending so much time in front of the computer to change my character ?,"I 'm going to college for computer sciences , so I have to play on the computer a lot .","I 'm going to college for blogging , so I have to work on the computer a lot .","I 'm going to college for computer sciences , so I have to work on the computer a lot .",None of the above choices .,2
39KMGHJ4R1OLBU283SNMA5WLBGU00O##36PW28KO42BJQHDET3PW9K6R618EAK##A3GVXFBYAU9HP##Blog_1215996##q1_a2##3JYPJ2TAYKMFWFLINVLXSDKXPUIPFJ,I learned new generation web technologies ASP hopefully looking forward for the day I make my homepage in aspx . I moved to college hostel this year . I do nt know why I spent so much time infront of my computer and I think its time to change my character . Not going to happen in this situation any more and I guess more time and try is required ; ) this blog ends with no normal start and no normal end .,Why ca n't I stop spending so much time in front of the computer to change my character ?,None of the above choices .,"I 'm going to college for computer sciences , so I have to play on the computer a lot .","I 'm going to college for blogging , so I have to work on the computer a lot .","I 'm going to college for computer programming , so I have to work on the computer a lot .",3
33QQ60S6AUW1RGEO1Z16ZCKSQK2U0I##35H6S234SDFI7W8ISPFHPLYSU4P56H##A2KYOM2ZGYDJGT##Blog_984282##q1_a1##3HFWPF5AKBXHTVLHVHOPM90B9FGS37,"Argo and Rina are a perfect pair - non stop energy . :p ) Then Rich was all , well I guess it would be ok , etc . * chortle*Bonus : I dry shaved my legs this morning . His laywer 's legs were so hairy it looked like an animal was crawling out of her skirt .",Why did the writer dry shave their legs ?,Because the lawyer 's legs were hairy .,Because Argo and Rina are a perfect pair .,Because an animal was crawling out of the lawyer 's skirt .,Because their legs were hairy .,3
3P4C70TRMRFGP538MPM81JNHSPPGLN##3OE22WJIGJMD74IAO2PNB4JQQV6QUN##A2KYOM2ZGYDJGT##Blog_766467##q1_a1##3MIVREZQVJCBCDEBOJRJ8V2C2G9KQJ,"No one else in the room , I walked towards the door to get out but found it locked . I walked behind the bar but there was no liquor - strange , as Darius always kept the place well - stocked . I grabbed a glass and filled it with cola from the soda gun and sat down at the bar .",What 's a possible reason the writer filled a glass with cola ?,The door was locked .,Darius kept the place well stocked .,No one else was in the room .,None of the above choices .,3
3BJKPTD2QEQARXJYV7UBECZDHHQTRR##3KJYX6QCMCQBTL24IZRJ2NXWWCDJV5##A394JO4NEPCY3M##Blog_538600##q1_a1##391JB9X4Z0MKRYGJWQK2RMI7SLOMKM,"Even though i am a "" rocker "" let 's say , i had never visited TP . We got to see the last 3 songs played by Sulphur ( a really really good cypriot metal band ) . I think next time they are playing i am going to hunt them down and attend their gig . Any clue when they are playing again in TP ?",What is probably true about the narrator ?,They are not a fan of metal music,They are not a fan of Sulphur,They are a fan of metal music,None of the above choices .,2
3BJKPTD2QEQARXJYV7UBECZDHHQTRR##3KJYX6QCMCQBTL24IZRJ2NXWWCDJV5##A394JO4NEPCY3M##Blog_538600##q1_a2##3D3B8GE89456V5U5K9L5IHYMMWNP9R,"Even though i am a "" rocker "" let 's say , i had never visited TP . We got to see the last 3 songs played by Sulphur ( a really really good cypriot metal band ) . I think next time they are playing i am going to hunt them down and attend their gig . Any clue when they are playing again in TP ?",What is probably true about the narrator ?,They are a fan of Sulphur,They are not a fan of metal music,None of the above choices .,They are not a fan of Sulphur,0
3D42WVSDHA995TDJEIHG54D9SV3FYC##39RP059MEK8MLFAJGFDBH3V6VREBM5##AJ7NSZOAFP05U##Blog_490867##q1_a1##39AYGO6AFHYJA1GU6N51UI2PWAPN6H,"Not a wraparound - in fact , it 's rather small . And when we moved here , it was a very plain porch indeed . The people we bought the place from even took the attached swing with them . But my philosophy has always been that you really can make a silk purse out of a sow 's ear .",What may be true about your new house 's porch ?,The people we bought the place from tried to take porch with them .,It lacked some features .,It had a wraparound .,It was packed with features .,1
3TLFH2L6Y9METO36WJ3AL63XCL5T2N##31EUONYN2W1AZ7UUEF7OILQ9P3EOVN##A2KYOM2ZGYDJGT##Blog_28241##q1_a1##33KGGVH24WVTF9T12NGTXO26QF0X1Y,"And on the shorter side , I 'd knit the band on too tightly , so it curled . Those of you who suggested such a thing were most insightful . This morning , in the bright light of day , things were better .",What 's a possible reason the writer knitted the band on too tightly ?,"Because in the bright light of day , things were getting better .",Because she 's on the shorter side .,Because she is inexperienced .,None of the above choices .,2
3OCZWXS7ZQLX3XDVPRFHPKK0VKH5LK##33F859I569S0T198PIXYPYNAGKRHBA##A2KYOM2ZGYDJGT##Blog_737255##q1_a1##3LEG2HW4UH1J48KCLXALW0C4EJ72FO,"And I can make people believe that I ' m not as pathetic and horrible as I am , and that makes me happy . But MV unraveled my entire scheme with one text message . Thanks , hon . School starts in 10 days .",Why can I make people believe that I ' m not as pathetic and horrible as I am ?,Because MV unraveled my entire scheme .,Because school starts in 10 days .,Because I am persuasive .,Because that makes me happy .,2
3PUOXASB571LFKX4NK77HHCS37L9ZZ##3KAKFY4PGV0GRCH8WAODFT24K4BI30##A1OPGPTQJ48XOY##Blog_1224032##q1_a1##3HKIF5DF60B0IS16HQVIO8KULQI9GV,"( See ! I ' m working on not being so damn shy ! ) I got in and got excellent seats . I think I was on the 3rd row , almost directly in front of Michael Rosenbaum !",What sort of behavior type do they tend to possess ?,They tend to sit near the back of lectures,They tend to avoid sitting near the front,None of the above choices .,They tend to be a very shy person,3
3PUOXASB571LFKX4NK77HHCS37L9ZZ##3KAKFY4PGV0GRCH8WAODFT24K4BI30##A1OPGPTQJ48XOY##Blog_1224032##q1_a2##3OWZNK3RYN38NQH2GM5KI0D7OSMU2N,"( See ! I ' m working on not being so damn shy ! ) I got in and got excellent seats . I think I was on the 3rd row , almost directly in front of Michael Rosenbaum !",What sort of behavior type do they tend to possess ?,None of the above choices .,They tend to shy away from large groups,They tend to avoid sitting near the front,They tend to sit near the back of lectures,1
3PUOXASB571LFKX4NK77HHCS37L9ZZ##3KAKFY4PGV0GRCH8WAODFT24K4BI30##A1OPGPTQJ48XOY##Blog_1224032##q2_a1##3YOAVL4CA2VZC3QZQNNGS7PKAOXZ4D,"( See ! I ' m working on not being so damn shy ! ) I got in and got excellent seats . I think I was on the 3rd row , almost directly in front of Michael Rosenbaum !",What must they decided to do before attending the Rosenbaum event ?,None of the above choices .,They must purchase tickets,They must clear the schedule for the day,They must finish all their work and assignments,1
3PKVGQTFIJY68JIS5DHAMTRSWJ8RYE##3DI28L7YXDTNWT0EXKW3YJDO2351EE##AJ7NSZOAFP05U##Blog_866511##q1_a1##3DWGDA5POHI1BKO628FB935LA80V19,"What ever became of manners , discretion , common courtesy ? Are social skills , like eight - track tapes and mullets , simply destined to become a thing of the past ? And why exactly am I going on and on about this ? Well , I was recently reminded of how our love affair with electronic gadgetry can turn us into blubbering idiots .",What may have cause social skills to be a thing of the past ?,None of the above choices .,Humans are growing less attached to others .,Everyone seems like bumbling idiots .,Humans are growing attached to technology .,3
34HEO7RUG885C1KPP73UJ79LTOTRAK##3YT88D1N0BDMSW63GALPK75QK3C3KR##AJ7NSZOAFP05U##Blog_1115297##q1_a1##3IVKZBIBJ2NWN3SGA2DRQ31LSSWSHS,"He came with me almost every week , and if he did n't come we were sometimes able to meet up afterward , or at least talk . Now , I have no idea what I ' m going to do . Its going to hit me so hard , being there without him .",What may have caused you to have no idea on what to do ?,My companion inserted himself into that situation .,I had to go there almost every week .,I lacked a companion in that situation .,None of the above choices .,2
