Split	Annotator.ID	Sentence1.ID	Pred1.Span	Pred1.Token	Event1.ID	Sentence2.ID	Pred2.Span	Pred2.Token	Event2.ID	Pred1.Text	Pred1.Lemma	Pred2.Text	Pred2.Lemma	Pred1.Duration	Pred2.Duration	Pred1.Beg	Pred1.End	Pred2.Beg	Pred2.End	Pred1.Duration.Confidence	Pred2.Duration.Confidence	Relation.Confidence	Document.ID
train	536	en-ud-train.conllu 5658	1_2_3	2	en-ud-train.conllu 5658_2	en-ud-train.conllu 5659	15	15	en-ud-train.conllu 5659_15	are individuals of	individual	Announce	announce	10	0	0 	 100	55 	 65	4.0	4.0	4.0	63
train	536	en-ud-train.conllu 155	3_4_5_6_7	6	en-ud-train.conllu 155_6	en-ud-train.conllu 155	19	19	en-ud-train.conllu 155_19	is actually hostile territory for	territory	succeed	succeed	7	6	0 	 100	53 	 65	4.0	4.0	4.0	4
train	536	en-ud-train.conllu 3550	2	2	en-ud-train.conllu 3550_2	en-ud-train.conllu 3551	10	10	en-ud-train.conllu 3551_10	considering	consider	make	make	4	0	14 	 33	55 	 65	4.0	4.0	4.0	40
train	253	en-ud-train.conllu 1093	12	12	en-ud-train.conllu 1093_12	en-ud-train.conllu 1093	16	16	en-ud-train.conllu 1093_16	watch	watch	have	have	3	6	35 	 42	42 	 59	3.0	3.0	3.0	15
train	253	en-ud-train.conllu 10338	1	1	en-ud-train.conllu 10338_1	en-ud-train.conllu 10338	8	8	en-ud-train.conllu 10338_8	had	have	get	get	4	4	42 	 56	38 	 57	4.0	4.0	4.0	294
train	253	en-ud-train.conllu 9060	3	3	en-ud-train.conllu 9060_3	en-ud-train.conllu 9060	26	26	en-ud-train.conllu 9060_26	trot	trot	going	go	2	2	37 	 46	35 	 46	4.0	4.0	4.0	180
train	253	en-ud-train.conllu 6820	17	17	en-ud-train.conllu 6820_17	en-ud-train.conllu 6820	28	28	en-ud-train.conllu 6820_28	own	own	CURSED	curse	8	8	35 	 100	35 	 98	3.0	3.0	3.0	81
train	253	en-ud-train.conllu 5416	5	5	en-ud-train.conllu 5416_5	en-ud-train.conllu 5416	9	9	en-ud-train.conllu 5416_9	come	come	reward	reward	6	6	35 	 62	35 	 62	3.0	3.0	3.0	58
train	186	en-ud-train.conllu 6028	1	1	en-ud-train.conllu 6028_1	en-ud-train.conllu 6029	3	3	en-ud-train.conllu 6029_3	presents	present	amend	amend	2	2	11 	 25	35 	 44	3.0	3.0	3.0	71
train	186	en-ud-train.conllu 11738	2	2	en-ud-train.conllu 11738_2	en-ud-train.conllu 11739	46	46	en-ud-train.conllu 11739_46	took	take	getting	get	2	2	20 	 32	45 	 54	3.0	3.0	3.0	484
train	186	en-ud-train.conllu 2174	9_10	10	en-ud-train.conllu 2174_10	en-ud-train.conllu 2174	26	26	en-ud-train.conllu 2174_26	be set	set	retrieve	retrieve	1	2	16 	 23	31 	 42	3.0	3.0	3.0	26
train	186	en-ud-train.conllu 5962	0	0	en-ud-train.conllu 5962_0	en-ud-train.conllu 5963	16	16	en-ud-train.conllu 5963_16	Find	find	straight	straight	1	2	19 	 24	27 	 43	3.0	2.0	2.0	70
train	186	en-ud-train.conllu 3160	7	7	en-ud-train.conllu 3160_7	en-ud-train.conllu 3161	4	4	en-ud-train.conllu 3161_4	access	access	want	want	1	2	11 	 18	24 	 37	3.0	3.0	2.0	37
train	508	en-ud-train.conllu 11886	5	5	en-ud-train.conllu 11886_5	en-ud-train.conllu 11887	22	22	en-ud-train.conllu 11887_22	based	base	payed	pay	7	3	18 	 65	39 	 57	4.0	4.0	4.0	499
train	508	en-ud-train.conllu 5103	5	5	en-ud-train.conllu 5103_5	en-ud-train.conllu 5103	8	8	en-ud-train.conllu 5103_8	set	set	start	start	3	3	27 	 65	37 	 58	3.0	3.0	3.0	54
train	508	en-ud-train.conllu 6387	2	2	en-ud-train.conllu 6387_2	en-ud-train.conllu 6387	23	23	en-ud-train.conllu 6387_23	argue	argue	portends	portend	2	2	31 	 55	51 	 63	4.0	4.0	4.0	77
train	508	en-ud-train.conllu 7475	56_57_58	58	en-ud-train.conllu 7475_58	en-ud-train.conllu 7475	77	77	en-ud-train.conllu 7475_77	is rather uncommon	uncommon	wet	wet	3	2	27 	 65	35 	 53	4.0	4.0	4.0	106
train	508	en-ud-train.conllu 12116	2_3_4_5_6	6	en-ud-train.conllu 12116_6	en-ud-train.conllu 12117	3	3	en-ud-train.conllu 12117_3	was in for a treat	treat	told	tell	3	1	25 	 68	37 	 48	4.0	4.0	4.0	517
train	108	en-ud-train.conllu 7708	0	0	en-ud-train.conllu 7708_0	en-ud-train.conllu 7709	5	5	en-ud-train.conllu 7709_5	Open	open	fill	fill	2	2	34 	 53	35 	 53	3.0	2.0	3.0	122
train	108	en-ud-train.conllu 3990	2	2	en-ud-train.conllu 3990_2	en-ud-train.conllu 3991	11	11	en-ud-train.conllu 3991_11	replace	replace	keep	keep	6	6	29 	 56	36 	 76	2.0	2.0	3.0	45
train	108	en-ud-train.conllu 7903	4	4	en-ud-train.conllu 7903_4	en-ud-train.conllu 7904	19	19	en-ud-train.conllu 7904_19	know	know	told	tell	6	6	32 	 65	32 	 65	2.0	2.0	3.0	133
train	108	en-ud-train.conllu 6727	69	69	en-ud-train.conllu 6727_69	en-ud-train.conllu 6727	83	83	en-ud-train.conllu 6727_83	shaken	shake	ending	end	2	10	35 	 45	52 	 100	1.0	1.0	4.0	80
train	108	en-ud-train.conllu 6742	6	6	en-ud-train.conllu 6742_6	en-ud-train.conllu 6743	27	27	en-ud-train.conllu 6743_27	slept	sleep	changed	change	6	6	34 	 65	33 	 65	2.0	2.0	2.0	80
train	71	en-ud-train.conllu 8437	6_7_8_9	8	en-ud-train.conllu 8437_8	en-ud-train.conllu 8437	16	16	en-ud-train.conllu 8437_16	be very new to	new	unsure	unsure	4	2	4 	 42	45 	 56	3.0	3.0	3.0	158
train	71	en-ud-train.conllu 3784	1	1	en-ud-train.conllu 3784_1	en-ud-train.conllu 3785	3	3	en-ud-train.conllu 3785_3	send	send	make	make	1	2	6 	 17	27 	 48	3.0	3.0	3.0	43
train	71	en-ud-train.conllu 9303	1	1	en-ud-train.conllu 9303_1	en-ud-train.conllu 9304	2	2	en-ud-train.conllu 9304_2	have	have	is	be	7	2	4 	 96	35 	 44	3.0	3.0	3.0	185
train	71	en-ud-train.conllu 9783	2	2	en-ud-train.conllu 9783_2	en-ud-train.conllu 9783	8	8	en-ud-train.conllu 9783_8	go	go	give	give	5	5	5 	 92	9 	 92	2.0	2.0	2.0	193
train	71	en-ud-train.conllu 2324	6	6	en-ud-train.conllu 2324_6	en-ud-train.conllu 2325	4	4	en-ud-train.conllu 2325_4	discuss	discuss	mentioned	mention	2	1	6 	 43	47 	 54	3.0	3.0	3.0	28
train	653	en-ud-train.conllu 5251	7	7	en-ud-train.conllu 5251_7	en-ud-train.conllu 5251	10_11	11	en-ud-train.conllu 5251_11	know	know	is ready	ready	2	3	35 	 46	20 	 60	4.0	4.0	3.0	55
train	653	en-ud-train.conllu 3806	40	40	en-ud-train.conllu 3806_40	en-ud-train.conllu 3806	59	59	en-ud-train.conllu 3806_59	assist	assist	keep	keep	5	6	20 	 65	25 	 77	4.0	4.0	4.0	44
train	653	en-ud-train.conllu 126	14	14	en-ud-train.conllu 126_14	en-ud-train.conllu 126	22	22	en-ud-train.conllu 126_22	makes	make	have	have	2	7	35 	 57	12 	 75	4.0	4.0	4.0	3
train	653	en-ud-train.conllu 7385	2	2	en-ud-train.conllu 7385_2	en-ud-train.conllu 7385	15	15	en-ud-train.conllu 7385_15	buy	buy	put	put	2	2	35 	 45	40 	 50	4.0	4.0	4.0	100
train	653	en-ud-train.conllu 2004	4	4	en-ud-train.conllu 2004_4	en-ud-train.conllu 2004	7	7	en-ud-train.conllu 2004_7	makes	make	skip	skip	2	1	35 	 45	35 	 40	4.0	4.0	4.0	24
train	508	en-ud-train.conllu 7632	31	31	en-ud-train.conllu 7632_31	en-ud-train.conllu 7632	37	37	en-ud-train.conllu 7632_37	absorb	absorb	should	should	3	3	17 	 46	46 	 74	4.0	4.0	2.0	118
train	508	en-ud-train.conllu 11285	30	30	en-ud-train.conllu 11285_30	en-ud-train.conllu 11285	32	32	en-ud-train.conllu 11285_32	try	try	find	find	0	0	11 	 40	34 	 45	2.0	2.0	2.0	433
train	508	en-ud-train.conllu 2158	10	10	en-ud-train.conllu 2158_10	en-ud-train.conllu 2158	42	42	en-ud-train.conllu 2158_42	participate	participate	find	find	4	4	15 	 43	43 	 88	2.0	2.0	2.0	26
train	508	en-ud-train.conllu 9250	1_2	2	en-ud-train.conllu 9250_2	en-ud-train.conllu 9250	11	11	en-ud-train.conllu 9250_11	is natural	natural	going	go	6	4	4 	 97	27 	 73	4.0	2.0	2.0	184
train	508	en-ud-train.conllu 2278	3	3	en-ud-train.conllu 2278_3	en-ud-train.conllu 2278	13	13	en-ud-train.conllu 2278_13	had	have	call	call	4	2	14 	 36	36 	 42	4.0	2.0	2.0	27
train	427	en-ud-train.conllu 6278	28	28	en-ud-train.conllu 6278_28	en-ud-train.conllu 6278	35	35	en-ud-train.conllu 6278_35	becomes	become	add	add	1	1	100 	 100	99 	 99	3.0	3.0	4.0	75
train	427	en-ud-train.conllu 9988	3	3	en-ud-train.conllu 9988_3	en-ud-train.conllu 9989	3_4_5_11	5	en-ud-train.conllu 9989_5	cooked	cook	are more food for	food	2	3	0 	 9	11 	 98	2.0	1.0	2.0	229
train	427	en-ud-train.conllu 12102	1	1	en-ud-train.conllu 12102_1	en-ud-train.conllu 12103	2	2	en-ud-train.conllu 12103_2	work	work	tend	tend	7	7	0 	 100	0 	 100	1.0	1.0	4.0	516
train	427	en-ud-train.conllu 3628	2	2	en-ud-train.conllu 3628_2	en-ud-train.conllu 3628	6	6	en-ud-train.conllu 3628_6	said	say	going	go	1	6	0 	 3	81 	 100	4.0	2.0	2.0	41
train	427	en-ud-train.conllu 7385	2	2	en-ud-train.conllu 7385_2	en-ud-train.conllu 7386	35	35	en-ud-train.conllu 7386_35	buy	buy	work	work	2	7	37 	 40	41 	 100	4.0	2.0	3.0	100
train	71	en-ud-train.conllu 201	32	32	en-ud-train.conllu 201_32	en-ud-train.conllu 202	1	1	en-ud-train.conllu 202_1	knows	know	is	be	2	6	6 	 26	24 	 65	2.0	3.0	3.0	5
train	71	en-ud-train.conllu 5939	21	21	en-ud-train.conllu 5939_21	en-ud-train.conllu 5940	11_12_13_14	14	en-ud-train.conllu 5940_14	drilling	drill	be a joint one	one	6	6	3 	 34	34 	 65	3.0	3.0	3.0	69
train	71	en-ud-train.conllu 9544	7_8_9_10	9	en-ud-train.conllu 9544_9	en-ud-train.conllu 9545	19	19	en-ud-train.conllu 9545_19	are not good for	good	kill	kill	2	2	4 	 24	30 	 40	3.0	3.0	3.0	190
train	71	en-ud-train.conllu 662	21_22_23_24	24	en-ud-train.conllu 662_24	en-ud-train.conllu 662	25	25	en-ud-train.conllu 662_25	are on the border	border	remain	remain	5	6	5 	 27	20 	 82	3.0	3.0	3.0	13
train	71	en-ud-train.conllu 2118	3	3	en-ud-train.conllu 2118_3	en-ud-train.conllu 2118	21	21	en-ud-train.conllu 2118_21	knew	know	circulated	circulate	2	6	4 	 19	20 	 54	2.0	2.0	2.0	25
train	508	en-ud-train.conllu 3147	1_2_3_4_5	5	en-ud-train.conllu 3147_5	en-ud-train.conllu 3148	3	3	en-ud-train.conllu 3148_3	is a two day process	process	need	need	4	4	0 	 100	25 	 96	4.0	4.0	4.0	36
train	508	en-ud-train.conllu 7401	0	0	en-ud-train.conllu 7401_0	en-ud-train.conllu 7402	1_2	2	en-ud-train.conllu 7402_2	Provide	provide	s natural	natural	4	4	8 	 82	23 	 65	4.0	4.0	4.0	101
train	508	en-ud-train.conllu 12006	12	12	en-ud-train.conllu 12006_12	en-ud-train.conllu 12006	15	15	en-ud-train.conllu 12006_15	suggested	suggest	check	check	2	3	10 	 34	33 	 57	4.0	4.0	4.0	508
train	508	en-ud-train.conllu 12498	3_4_5	5	en-ud-train.conllu 12498_5	en-ud-train.conllu 12498	7	7	en-ud-train.conllu 12498_7	were &quot; unable	unable	tell	tell	4	2	10 	 33	30 	 36	4.0	4.0	4.0	539
train	508	en-ud-train.conllu 2694	7	7	en-ud-train.conllu 2694_7	en-ud-train.conllu 2695	1	1	en-ud-train.conllu 2695_1	looks	look	want	want	2	2	15 	 37	34 	 48	2.0	4.0	4.0	32
train	619	en-ud-train.conllu 428	11	11	en-ud-train.conllu 428_11	en-ud-train.conllu 428	23	23	en-ud-train.conllu 428_23	rooting	root	counter	counter	4	4	34 	 65	34 	 65	4.0	4.0	4.0	10
train	619	en-ud-train.conllu 6780	52	52	en-ud-train.conllu 6780_52	en-ud-train.conllu 6780	82	82	en-ud-train.conllu 6780_82	admonished	admonish	going	go	2	2	41 	 54	16 	 24	4.0	4.0	4.0	81
train	619	en-ud-train.conllu 11615	33	33	en-ud-train.conllu 11615_33	en-ud-train.conllu 11615	39_42_43_44_45	45	en-ud-train.conllu 11615_45	drenched	drench	was on the brown side	side	2	2	34 	 59	34 	 59	4.0	4.0	4.0	471
train	619	en-ud-train.conllu 11545	2	2	en-ud-train.conllu 11545_2	en-ud-train.conllu 11545	5	5	en-ud-train.conllu 11545_5	claimed	claim	see	see	2	2	45 	 65	35 	 65	4.0	4.0	4.0	464
train	619	en-ud-train.conllu 6528	3	3	en-ud-train.conllu 6528_3	en-ud-train.conllu 6528	15	15	en-ud-train.conllu 6528_15	was	be	order	order	2	2	57 	 65	19 	 34	4.0	4.0	4.0	78
train	619	en-ud-train.conllu 3563	43_44_45	45	en-ud-train.conllu 3563_45	en-ud-train.conllu 3564	4	4	en-ud-train.conllu 3564_4	is probably unnecessary	unnecessary	use	use	6	6	18 	 53	35 	 89	4.0	4.0	4.0	41
train	619	en-ud-train.conllu 5357	1_2_3_7_8_9_10	10	en-ud-train.conllu 5357_10	en-ud-train.conllu 5357	23	23	en-ud-train.conllu 5357_23	is &#44; in &#44; a...	concept	suck	suck	9	7	7 	 94	50 	 65	4.0	4.0	4.0	56
train	619	en-ud-train.conllu 4053	4	4	en-ud-train.conllu 4053_4	en-ud-train.conllu 4053	16	16	en-ud-train.conllu 4053_16	made	make	become	become	4	4	42 	 65	10 	 72	4.0	4.0	4.0	46
train	619	en-ud-train.conllu 3644	2	2	en-ud-train.conllu 3644_2	en-ud-train.conllu 3645	3	3	en-ud-train.conllu 3645_3	adds	add	distributed	distribute	5	6	12 	 33	43 	 92	4.0	4.0	4.0	41
train	619	en-ud-train.conllu 6788	6	6	en-ud-train.conllu 6788_6	en-ud-train.conllu 6789	61	61	en-ud-train.conllu 6789_61	suffer	suffer	see	see	6	8	9 	 25	44 	 92	4.0	4.0	4.0	81
train	427	en-ud-train.conllu 1642	4	4	en-ud-train.conllu 1642_4	en-ud-train.conllu 1643	23_24_25_26_27	27	en-ud-train.conllu 1643_27	compare	compare	is 33 - 66 K	k	1	7	100 	 100	0 	 100	4.0	4.0	4.0	18
train	427	en-ud-train.conllu 9418	30	30	en-ud-train.conllu 9418_30	en-ud-train.conllu 9418	49	49	en-ud-train.conllu 9418_49	means	mean	have	have	7	7	0 	 100	0 	 100	4.0	4.0	4.0	188
train	427	en-ud-train.conllu 5119	3	3	en-ud-train.conllu 5119_3	en-ud-train.conllu 5120	21_22_23	23	en-ud-train.conllu 5120_23	drive	drive	was too much	much	7	7	0 	 100	0 	 100	4.0	4.0	4.0	54
train	427	en-ud-train.conllu 3010	10	10	en-ud-train.conllu 3010_10	en-ud-train.conllu 3011	3	3	en-ud-train.conllu 3011_3	comes	come	chatting	chat	2	2	96 	 100	0 	 3	4.0	4.0	3.0	35
train	427	en-ud-train.conllu 10398	15	15	en-ud-train.conllu 10398_15	en-ud-train.conllu 10399	22_23	23	en-ud-train.conllu 10399_23	chosen	choose	be surprised	surprised	2	2	0 	 3	96 	 100	4.0	2.0	2.0	304
train	508	en-ud-train.conllu 4896	13_14	14	en-ud-train.conllu 4896_14	en-ud-train.conllu 4896	23	23	en-ud-train.conllu 4896_23	&#39;m aware	aware	is	be	3	3	12 	 43	43 	 88	2.0	2.0	2.0	52
train	508	en-ud-train.conllu 1351	2	2	en-ud-train.conllu 1351_2	en-ud-train.conllu 1351	11	11	en-ud-train.conllu 1351_11	associated	associate	known	know	7	4	12 	 89	45 	 66	2.0	2.0	2.0	17
train	508	en-ud-train.conllu 1459	5	5	en-ud-train.conllu 1459_5	en-ud-train.conllu 1460	12	12	en-ud-train.conllu 1460_12	told	tell	spotted	spot	1	2	7 	 26	23 	 55	2.0	2.0	2.0	17
train	508	en-ud-train.conllu 116	2_3	3	en-ud-train.conllu 116_3	en-ud-train.conllu 116	13	13	en-ud-train.conllu 116_13	be interested	interested	found	find	3	3	14 	 83	39 	 70	2.0	4.0	2.0	3
train	508	en-ud-train.conllu 1676	20	20	en-ud-train.conllu 1676_20	en-ud-train.conllu 1676	22	22	en-ud-train.conllu 1676_22	want	want	forgo	forgo	3	3	22 	 72	42 	 61	2.0	2.0	2.0	19
train	209	en-ud-train.conllu 8681	5	5	en-ud-train.conllu 8681_5	en-ud-train.conllu 8681	13	13	en-ud-train.conllu 8681_13	become	become	approved	approve	7	4	0 	 51	35 	 50	4.0	4.0	4.0	169
train	209	en-ud-train.conllu 5653	14	14	en-ud-train.conllu 5653_14	en-ud-train.conllu 5653	20	20	en-ud-train.conllu 5653_20	come	come	allow	allow	6	6	26 	 65	27 	 65	4.0	4.0	4.0	63
train	209	en-ud-train.conllu 12158	3	3	en-ud-train.conllu 12158_3	en-ud-train.conllu 12158	9	9	en-ud-train.conllu 12158_9	cleaned	clean	changed	change	3	2	35 	 73	78 	 88	3.0	4.0	4.0	520
train	209	en-ud-train.conllu 7492	3	3	en-ud-train.conllu 7492_3	en-ud-train.conllu 7493	10	10	en-ud-train.conllu 7493_10	change	change	board	board	2	2	18 	 35	76 	 84	4.0	4.0	4.0	108
train	209	en-ud-train.conllu 11304	1	1	en-ud-train.conllu 11304_1	en-ud-train.conllu 11304	28	28	en-ud-train.conllu 11304_28	took	take	overpriced	overpriced	3	7	17 	 37	0 	 100	2.0	4.0	4.0	436
train	211	en-ud-train.conllu 4600	13	13	en-ud-train.conllu 4600_13	en-ud-train.conllu 4601	0	0	en-ud-train.conllu 4601_0	address	address	Thank	thank	4	1	27 	 69	14 	 22	4.0	2.0	3.0	50
train	211	en-ud-train.conllu 3377	9_10_12	10	en-ud-train.conllu 3377_10	en-ud-train.conllu 3378	16	16	en-ud-train.conllu 3378_16	been aware for	aware	messed	mess	6	6	27 	 74	15 	 75	4.0	2.0	3.0	39
train	211	en-ud-train.conllu 9616	2	2	en-ud-train.conllu 9616_2	en-ud-train.conllu 9616	20	20	en-ud-train.conllu 9616_20	enjoyed	enjoy	leaving	leave	4	2	22 	 67	44 	 51	4.0	4.0	4.0	191
train	211	en-ud-train.conllu 9802	7	7	en-ud-train.conllu 9802_7	en-ud-train.conllu 9802	27	27	en-ud-train.conllu 9802_27	testing	test	released	release	6	3	23 	 77	87 	 98	3.0	3.0	3.0	193
train	211	en-ud-train.conllu 8566	1	1	en-ud-train.conllu 8566_1	en-ud-train.conllu 8566	9_10_11	10	en-ud-train.conllu 8566_10	said	say	are free in	free	2	3	60 	 75	18 	 50	3.0	3.0	2.0	164
train	508	en-ud-train.conllu 10494	4	4	en-ud-train.conllu 10494_4	en-ud-train.conllu 10494	17	17	en-ud-train.conllu 10494_17	have	have	finding	find	7	6	24 	 76	42 	 65	4.0	4.0	3.0	321
train	508	en-ud-train.conllu 564	19	19	en-ud-train.conllu 564_19	en-ud-train.conllu 565	5	5	en-ud-train.conllu 565_5	operate	operate	came	come	7	4	22 	 72	39 	 54	4.0	4.0	3.0	12
train	508	en-ud-train.conllu 3976	7	7	en-ud-train.conllu 3976_7	en-ud-train.conllu 3976	13	13	en-ud-train.conllu 3976_13	indicated	indicate	played	play	3	3	31 	 66	39 	 58	4.0	4.0	3.0	45
train	508	en-ud-train.conllu 12506	7	7	en-ud-train.conllu 12506_7	en-ud-train.conllu 12506	49	49	en-ud-train.conllu 12506_49	know	know	said	say	4	2	32 	 46	48 	 63	4.0	4.0	1.0	539
train	508	en-ud-train.conllu 182	1	1	en-ud-train.conllu 182_1	en-ud-train.conllu 182	5	5	en-ud-train.conllu 182_5	appears	appear	going	go	6	6	22 	 64	36 	 54	4.0	4.0	2.0	5
train	619	en-ud-train.conllu 8924	2	2	en-ud-train.conllu 8924_2	en-ud-train.conllu 8925	4_5_6	5	en-ud-train.conllu 8925_5	traveled	travel	be dependent on	dependent	5	4	29 	 65	17 	 29	4.0	4.0	4.0	176
train	619	en-ud-train.conllu 1475	2	2	en-ud-train.conllu 1475_2	en-ud-train.conllu 1476	2	2	en-ud-train.conllu 1476_2	reached	reach	got	get	2	2	44 	 65	20 	 27	4.0	4.0	4.0	17
train	619	en-ud-train.conllu 3252	1	1	en-ud-train.conllu 3252_1	en-ud-train.conllu 3252	5	5	en-ud-train.conllu 3252_5	make	make	confusing	confusing	2	5	15 	 36	36 	 91	4.0	4.0	4.0	37
train	619	en-ud-train.conllu 3915	3	3	en-ud-train.conllu 3915_3	en-ud-train.conllu 3915	5	5	en-ud-train.conllu 3915_5	decide	decide	arrange	arrange	2	2	18 	 30	43 	 71	4.0	4.0	4.0	45
train	619	en-ud-train.conllu 2821	1_2	2	en-ud-train.conllu 2821_2	en-ud-train.conllu 2821	3	3	en-ud-train.conllu 2821_3	be nice	nice	having	have	5	5	22 	 62	22 	 62	4.0	4.0	4.0	33
train	508	en-ud-train.conllu 6974	17	17	en-ud-train.conllu 6974_17	en-ud-train.conllu 6975	16	16	en-ud-train.conllu 6975_16	studied	study	received	receive	6	2	26 	 42	42 	 51	2.0	2.0	2.0	83
train	508	en-ud-train.conllu 11939	6	6	en-ud-train.conllu 11939_6	en-ud-train.conllu 11939	13	13	en-ud-train.conllu 11939_13	cancel	cancel	called	call	2	2	14 	 32	32 	 44	2.0	2.0	2.0	503
train	508	en-ud-train.conllu 1530	1	1	en-ud-train.conllu 1530_1	en-ud-train.conllu 1531	18	18	en-ud-train.conllu 1531_18	was	be	collected	collect	4	4	17 	 37	36 	 55	2.0	2.0	2.0	17
train	508	en-ud-train.conllu 9128	12_13	13	en-ud-train.conllu 9128_13	en-ud-train.conllu 9129	1_2_3_4	4	en-ud-train.conllu 9129_4	is something	something	are also very secretive	secretive	4	4	27 	 52	50 	 68	2.0	3.0	4.0	182
train	508	en-ud-train.conllu 8607	3	3	en-ud-train.conllu 8607_3	en-ud-train.conllu 8608	29	29	en-ud-train.conllu 8608_29	go	go	get	get	4	4	18 	 46	42 	 58	2.0	2.0	2.0	166
train	71	en-ud-train.conllu 5569	6	6	en-ud-train.conllu 5569_6	en-ud-train.conllu 5569	17	17	en-ud-train.conllu 5569_17	filing	file	call	call	3	3	26 	 37	46 	 56	4.0	4.0	4.0	62
train	71	en-ud-train.conllu 9430	4	4	en-ud-train.conllu 9430_4	en-ud-train.conllu 9430	15	15	en-ud-train.conllu 9430_15	get	get	tame	tame	2	3	15 	 26	47 	 65	4.0	4.0	4.0	188
train	71	en-ud-train.conllu 6182	26	26	en-ud-train.conllu 6182_26	en-ud-train.conllu 6182	40	40	en-ud-train.conllu 6182_40	living	live	decided	decide	3	3	26 	 44	57 	 74	4.0	4.0	4.0	74
